               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10796,             0.10457,                   0,           0.0053994,            0.074253,             0.00293,           0.0007206,            0.094586,             0.11624,                   0,             0.00017,             0.00017,             0.09847
                   1,             0.10047,             0.11901,                   0,           0.0050479,             0.06942,           0.0027253,          0.00067919,             0.09287,             0.12204,                   0,          0.00034884,          0.00034884,            0.096849
                   2,            0.098897,             0.12357,                   0,           0.0048775,            0.067077,           0.0026081,          0.00063656,            0.092246,             0.12406,                   0,           0.0005265,           0.0005265,            0.095227
                   3,            0.097742,             0.12395,                   0,           0.0041427,            0.056971,           0.0021895,           0.0005206,            0.093262,             0.12139,                   0,          0.00070297,          0.00070297,            0.093603
                   4,            0.097022,             0.12218,                   0,           0.0055911,            0.076889,           0.0030246,          0.00072353,            0.092414,             0.12312,                   0,          0.00087825,          0.00087825,            0.091978
                   5,            0.094671,             0.12087,                   0,            0.010351,             0.14236,           0.0066505,           0.0015685,            0.093614,             0.11422,                   0,           0.0010523,           0.0010523,            0.090352
                   6,            0.090474,             0.11181,                   0,            0.030564,            0.065466,            0.016916,           0.0044438,            0.089111,             0.11592,                   0,           0.0012252,           0.0012252,            0.088725
                   7,            0.089223,             0.09615,                   0,             0.17108,            0.078061,            0.059535,            0.014141,            0.083186,             0.10823,                   0,            0.001397,            0.001397,            0.087097
                   8,            0.086028,            0.091809,                   0,             0.25892,             0.29159,             0.18259,            0.040375,            0.079333,            0.086706,                   0,           0.0015675,           0.0015675,            0.085467
                   9,            0.082009,            0.085647,                   0,             0.28312,             0.44361,             0.23601,            0.048208,            0.070365,            0.090925,                   0,           0.0017368,           0.0017368,            0.083837
                  10,            0.078262,            0.083764,                   0,             0.48708,             0.49165,              0.4335,             0.11484,             0.06145,            0.086399,                   0,            0.001905,            0.001905,            0.082205
                  11,            0.073798,            0.084805,                   0,             0.47015,             0.51655,             0.39761,             0.10386,            0.062657,             0.08609,                   0,            0.002072,            0.002072,            0.080572
                  12,             0.07279,             0.08212,                   0,             0.34852,             0.50586,              0.2511,            0.075222,            0.066357,             0.11566,                   0,           0.0022377,           0.0022377,            0.078938
                  13,            0.071872,            0.078739,                   0,             0.57733,             0.62258,             0.55726,             0.18966,            0.053709,            0.076907,                   0,           0.0024023,           0.0024023,            0.077302
                  14,            0.069246,            0.078472,                   0,             0.66419,             0.70416,             0.71394,             0.27672,            0.049642,            0.075678,                   0,           0.0025657,           0.0025657,            0.075666
                  15,            0.066588,            0.077463,                   0,              0.6498,             0.63779,             0.63693,             0.20437,            0.053155,            0.076922,                   0,           0.0027279,           0.0027279,            0.074028
                  16,            0.066263,            0.077109,                   0,             0.68438,             0.74487,             0.74298,             0.27094,            0.049084,              0.0734,                   0,            0.002889,            0.002889,            0.072389
                  17,            0.063032,            0.076658,                   0,             0.71446,             0.79101,             0.75495,             0.29599,            0.046631,            0.092504,                   0,           0.0030488,           0.0030488,            0.070749
                  18,            0.062235,            0.074104,                   0,             0.60484,             0.67926,             0.67454,             0.27083,            0.047873,            0.074018,                   0,           0.0032074,           0.0032074,            0.069107
                  19,            0.061724,            0.075442,                   0,             0.73323,             0.80053,             0.75339,             0.30689,            0.047912,             0.07426,                   0,           0.0033649,           0.0033649,            0.067465
                  20,              0.0608,            0.075904,                   0,             0.77591,             0.74798,             0.80519,             0.34327,            0.045364,             0.07622,                   0,           0.0035212,           0.0035212,            0.065821
                  21,            0.059734,            0.071647,                   0,             0.81926,             0.80463,             0.86646,             0.40621,            0.042659,            0.072871,                   0,           0.0036763,           0.0036763,            0.064176
                  22,            0.055624,            0.073509,                   0,             0.75115,             0.76832,             0.81826,             0.36178,              0.0426,            0.079621,                   0,           0.0038302,           0.0038302,             0.06253
                  23,            0.056975,            0.072368,                   0,             0.78812,             0.79687,             0.82486,             0.33582,            0.043853,            0.074626,                   0,           0.0039829,           0.0039829,            0.060883
                  24,            0.057469,            0.071495,                   0,              0.7434,             0.76816,             0.77339,              0.3453,            0.041598,            0.073317,                   0,           0.0041344,           0.0041344,            0.059234
                  25,             0.05459,            0.071343,                   0,             0.73751,             0.77944,             0.80321,             0.36212,            0.042661,            0.069293,                   0,           0.0042847,           0.0042847,            0.057585
                  26,            0.053379,            0.074324,                   0,             0.80292,             0.80228,             0.85986,             0.39714,            0.040167,            0.067474,                   0,           0.0044339,           0.0044339,            0.055934
                  27,            0.059376,            0.071618,                   0,             0.32863,             0.63165,             0.36141,              0.1043,            0.078441,            0.063004,                   0,           0.0045818,           0.0045818,            0.054282
                  28,            0.072013,            0.077964,                   0,             0.52667,             0.66242,             0.56822,             0.16442,             0.05332,             0.11297,                   0,           0.0047286,           0.0047286,            0.052629
                  29,            0.065275,            0.071482,                   0,             0.71117,             0.71871,             0.74826,             0.26762,            0.053627,             0.10366,                   0,           0.0048742,           0.0048742,            0.050974
                  30,            0.062603,            0.072441,                   0,             0.72469,             0.77783,             0.76977,             0.21697,             0.05707,            0.092603,                   0,           0.0050186,           0.0050186,            0.049319
                  31,            0.063403,            0.069931,                   0,             0.84017,             0.83454,             0.89667,              0.4361,            0.042154,            0.070151,                   0,           0.0051618,           0.0051618,            0.047662
                  32,            0.061712,            0.070532,                   0,             0.76321,             0.77604,             0.81534,             0.31865,            0.047623,            0.094118,                   0,           0.0053038,           0.0053038,            0.046004
                  33,            0.059579,            0.068716,                   0,             0.62961,             0.75731,             0.68679,             0.23735,            0.047075,            0.067154,                   0,           0.0054446,           0.0054446,            0.044345
                  34,              0.0584,            0.072389,                   0,             0.82304,             0.82455,             0.89111,             0.45109,            0.038797,            0.069777,                   0,           0.0055843,           0.0055843,            0.042684
                  35,            0.053929,            0.070056,                   0,             0.81573,             0.82542,             0.88376,              0.4162,            0.041836,            0.067674,                   0,           0.0057227,           0.0057227,            0.041023
                  36,            0.058953,            0.068619,                   0,             0.76697,             0.79681,             0.84374,             0.37272,            0.044404,            0.069515,                   0,             0.00586,             0.00586,             0.03936
                  37,            0.053355,            0.070377,                   0,             0.83384,              0.8345,             0.88464,             0.46381,            0.039184,            0.068038,                   0,           0.0059961,           0.0059961,            0.037696
                  38,            0.056181,            0.069109,                   0,             0.85048,             0.81898,             0.89455,             0.44579,            0.038151,            0.074733,                   0,           0.0061309,           0.0061309,            0.036031
                  39,            0.052845,              0.0673,                   0,              0.8214,             0.86629,             0.90398,             0.48537,            0.035004,            0.071348,                   0,           0.0062646,           0.0062646,            0.034365
                  40,            0.051448,            0.071591,                   0,             0.81612,              0.8801,             0.87902,             0.45386,            0.036836,            0.068697,                   0,           0.0063972,           0.0063972,            0.032697
                  41,            0.050165,            0.074769,                   0,             0.80393,             0.73784,             0.81423,             0.38457,            0.044995,            0.073404,                   0,           0.0065285,           0.0065285,            0.031028
                  42,            0.055296,            0.067778,                   0,             0.84717,              0.8411,             0.89972,              0.4851,            0.038661,             0.06769,                   0,           0.0066586,           0.0066586,            0.029359
